"stap_s","stap_t","gs","distance","ws","start","end","duration","n"
6,7,5.4236157298373+63.7979307035823i,689.517071632532,-28.4402182935479+35.6323537440853i,2022-03-23 00:41:27,2022-03-23 11:11:27,10.5,1
6,7,-29.3018267768092+68.4391829223103i,799.172106247793,-30.6476532306605+30.4101009391739i,2022-03-23 00:41:27,2022-03-23 11:11:27,10.5,1
6,7,-1.8321017364178+68.0011570998792i,731.365883272913,-19.1258734231665+38.8659471064907i,2022-03-23 00:41:27,2022-03-23 11:11:27,10.5,1
6,7,-3.6193962896082+65.9059053461782i,710.183634801778,-27.7642693866061+36.905702738309i,2022-03-23 00:41:27,2022-03-23 11:11:27,10.5,1
7,8,-9.3245084077517+26.5026385137907i,117.553556696086,10.4020603217574+24.438643075224i,2022-03-24 04:11:27,2022-03-24 07:41:27,3.5,1
7,8,0+0i,19.199782950425,19.2986759262673+17.6744995250776i,2022-03-24 04:11:27,2022-03-24 07:41:27,3.5,1
7,8,-4.3386147679106+20.0430937975123i,90.7543610268876,17.8171829102737+19.5276229535561i,2022-03-24 04:11:27,2022-03-24 07:41:27,3.5,1
7,8,-11.3103978870746+4.3929501559947i,61.6643947093973,20.0735625499325+17.3338368352787i,2022-03-24 04:11:27,2022-03-24 07:41:27,3.5,1
7,8,-4.8917905901522+45.3753011281153i,178.411104196651,19.7076654312946+15.6549745336065i,2022-03-24 04:11:27,2022-03-24 07:41:27,3.5,1
7,8,16.8364274007504-4.7534947861597i,80.6050470649103,18.9086090006946+21.2534472510747i,2022-03-24 04:11:27,2022-03-24 07:41:27,3.5,1
7,8,-29.3607318587653+34.053582816135i,176.426047966452,16.6486105308372+19.9593022824976i,2022-03-24 04:11:27,2022-03-24 07:41:27,3.5,1
7,8,-5.0968754620963+70.7496253025558i,266.731690277321,18.3340424918224+19.3331291613191i,2022-03-24 04:11:27,2022-03-24 07:41:27,3.5,1
7,8,25.4075252251181+58.5274724062392i,242.103110758185,19.5785706046169+23.8826276193026i,2022-03-24 04:11:27,2022-03-24 07:41:27,3.5,1
7,8,8.8436954120498+20.3550428395611i,96.7584353262592,17.674325862424+21.3990580092625i,2022-03-24 04:11:27,2022-03-24 07:41:27,3.5,1
8,9,-26.0281391257893+45.6285695092403i,307.506148085735,12.4521325275672+19.3060245806944i,2022-04-06 01:41:27,2022-04-06 07:11:27,5.5,1
8,9,3.1923515241884+53.1922163140981i,311.054088548109,21.361532033858+13.8876792034422i,2022-04-06 01:41:27,2022-04-06 07:11:27,5.5,1
8,9,-31.3462655737911+3.9058424038683i,193.07578762839,9.5594144472996+13.8614946831295i,2022-04-06 01:41:27,2022-04-06 07:11:27,5.5,1
8,9,3.1499923941297+41.059133327789i,244.677355155069,22.5961751667626+14.8564143098056i,2022-04-06 01:41:27,2022-04-06 07:11:27,5.5,1
8,9,15.8491563103777+45.3487060776062i,282.370808845541,24.4729017885153+15.5981226597178i,2022-04-06 01:41:27,2022-04-06 07:11:27,5.5,1
8,9,-12.8934318019337+49.2469859006618i,298.242973097264,19.1026126353906+14.6551708059486i,2022-04-06 01:41:27,2022-04-06 07:11:27,5.5,1
8,9,-9.5277469370282+45.1805666529834i,272.124932898689,17.0120381524199+14.5768386006736i,2022-04-06 01:41:27,2022-04-06 07:11:27,5.5,1
8,9,-6.2175855063426+33.0175437469113i,203.161076427849,18.3967987113066+15.955087828672i,2022-04-06 01:41:27,2022-04-06 07:11:27,5.5,1
8,9,-3.1497100808517+36.9919268144029i,222.561741375995,20.9387659872052+12.9653799684259i,2022-04-06 01:41:27,2022-04-06 07:11:27,5.5,1
8,9,-19.14885964925+41.4203283565313i,269.394006238814,17.4251857781776+13.1205365844035i,2022-04-06 01:41:27,2022-04-06 07:11:27,5.5,1
9,10,40.0181251939576-23.059825965965i,88.2722996961815,26.4270780768201-10.9254402028583i,2022-04-08 02:11:27,2022-04-08 03:41:27,1.5,1
9,10,-4.47604690469023-5.31378287101405i,28.9790265764131,26.6193176531188+0.6678086961645i,2022-04-08 02:11:27,2022-04-08 03:41:27,1.5,1
9,10,7.7201235891968+17.9495958050078i,48.2935334784797,25.0404467662497-12.6503674165143i,2022-04-08 02:11:27,2022-04-08 03:41:27,1.5,1
9,10,0-2.38040099644085i,22.1801809680292,30.7017659637926+3.3286258941469i,2022-04-08 02:11:27,2022-04-08 03:41:27,1.5,1
9,10,-7.6892599977451-18.2225479551503i,48.1308534362152,27.0170393802146-0.1263340890936i,2022-04-08 02:11:27,2022-04-08 03:41:27,1.5,1
9,10,9.1359520461697+32.4215224335034i,69.1456345351541,34.3985704709911+0.3896543096999i,2022-04-08 02:11:27,2022-04-08 03:41:27,1.5,1
9,10,50.8519350001179+24.4639440036583i,103.352155991926,28.3443185404276+1.7667075376024i,2022-04-08 02:11:27,2022-04-08 03:41:27,1.5,1
9,10,-39.1596673604358+23.3563279472991i,87.1486386275847,31.9430065781426-2.1533189330858i,2022-04-08 02:11:27,2022-04-08 03:41:27,1.5,1
9,10,10.4055389462295+61.815759989338i,112.47528861125,32.2631127807963+2.1136348570132i,2022-04-08 02:11:27,2022-04-08 03:41:27,1.5,1
9,10,0+31.9818566807424i,66.5384204489827,33.9813146529851-0.1398030668795i,2022-04-08 02:11:27,2022-04-08 03:41:27,1.5,1
10,11,-13.6639024944962+54.9133493473574i,518.911053882072,20.3251091692266+20.6528243135408i,2022-04-11 01:11:27,2022-04-11 10:11:27,9,1
10,11,-15.1842830939588+27.9583026181383i,296.11002056161,15.3688542113829+17.8909854235171i,2022-04-11 01:11:27,2022-04-11 10:11:27,9,1
10,11,-3.8939234411166+52.3166334096058i,482.362296816055,19.0042893440748+21.7395500969885i,2022-04-11 01:11:27,2022-04-11 10:11:27,9,1
10,11,-19.1704243534141+32.9868890094386i,353.104975177303,19.085860422835+20.1198024087497i,2022-04-11 01:11:27,2022-04-11 10:11:27,9,1
10,11,-19.1704243534141+32.9868890094386i,353.104975177303,19.085860422835+20.1198024087497i,2022-04-11 01:11:27,2022-04-11 10:11:27,9,1
10,11,-21.0527557856873+30.6356998749717i,344.364678522776,18.7415978904598+20.3640595031602i,2022-04-11 01:11:27,2022-04-11 10:11:27,9,1
10,11,-17.0415909987516+25.610914457656i,286.694878647295,14.8461075793507+17.7598561027935i,2022-04-11 01:11:27,2022-04-11 10:11:27,9,1
10,11,-3.7884511498426+30.1036738972256i,283.502185546633,13.0680896999923+18.3976805270458i,2022-04-11 01:11:27,2022-04-11 10:11:27,9,1
10,11,-22.934776339717+28.3030139731551i,337.816887584638,18.5486204644853+19.722894324167i,2022-04-11 01:11:27,2022-04-11 10:11:27,9,1
10,11,-11.4045422136133+30.2671079458584i,300.931363972806,15.1026518291919+19.0207297162927i,2022-04-11 01:11:27,2022-04-11 10:11:27,9,1
